"","age.x","politic_aff.x","rel_gender","prolific_id","per_sim1","per_sim2","persistence_time1","persistence_time2","persist_time_diff","KH_gender.x","KH_race.x"
"1",54,1,1,"5e49fdf1a95b8c46bd19f1eb",3,2,10.91,190.028,179.118,"woman","none"
"2",28,2,0,"671765ffd5b89695744d3a49",6,6,26.096,8.1,-17.996,"woman","black"
"3",28,1,1,"6514d739f7568fe6b2ebbe35",4,6,100.901,16.089,-84.812,"woman","multiracial"
"4",30,5,1,"66927b1b3773ef328cddefbb",2,2,45.032,43.842,-1.19,"none","multiracial"
"5",45,1,1,"651ab5e8863e385a9c2cc4f1",3,4,151.464,130.609,-20.855,"woman","black"
"6",64,2,0,"66734bc9a7a0fd3e77c1c149",1,1,146.229,55.608,-90.621,"none","none"
"7",32,2,0,"6718c99c07108f2020def110",7,6,9.996,6.244,-3.752,"none","black"
"8",25,2,0,"6682828c64e25cd1d24c1f11",3,3,75.139,31.668,-43.471,"none","black"
"9",37,1,1,"6595b1b8bb8b96a542bfb8f1",4,2,34.845,12.658,-22.187,"woman","black"
"10",23,1,1,"610466e3fb619bdbdf8eb32d",3,2,178.641,325.715,147.074,"none","multiracial"
"11",24,1,1,"66608c06ded6c4adca8a1638",2,2,103.196,959.399,856.203,"woman","none"
"12",33,1,1,"5e5de7a9151524109818ad6a",2,2,181.23,171.98,-9.25,"woman","none"
"13",41,2,1,"66c818d54be472a56ff5fa2c",1,1,39.768,221.758,181.99,"woman","black"
"14",30,3,1,"66ad8f347ea9a938198e12c0",1,2,62.945,27.875,-35.07,"woman","black"
"15",31,1,1,"65915b8182ff025a05fdd937",2,6,83.963,231.58,147.617,"woman","black"
"16",31,2,0,"6718b9bc107831749fa97950",6,6,14.514,8.604,-5.91,"none","none"
"17",38,3,0,"66312361cf5d4099e1330532",6,5,351.579,175.233,-176.346,"none","none"
"18",35,1,0,"63d7b127485d5655e70c8282",4,3,126.154,47.425,-78.729,"none","multiracial"
"19",28,2,1,"66759f09781e25aaf1ebf081",2,2,53.062,270.589,217.527,"none","none"
"20",36,3,1,"6168ace1ef0f716f56f08f5b",4,4,53.146,15.394,-37.752,"none","black"
"21",22,2,0,"671fa09e15ebe028cdf11d91",1,1,81.651,47.512,-34.139,"woman","none"
"22",25,3,0,"6362852176f08a3984fa6ef1",2,1,66.125,32.7,-33.425,"none","multiracial"
"23",43,1,1,"65c40f5bda4b4e30025835e4",3,1,26.925,48.416,21.491,"woman","none"
"24",28,2,0,"671663e35cdda9ee717156aa",5,5,10.274,11.064,0.79,"woman","multiracial"
"25",31,1,1,"66788262a474d5c2159df46a",3,3,901.416,25.691,-875.725,"woman","black"
"26",35,1,0,"6584587e3b2eb3fdd8a3ebcf",6,7,212.492,116.945,-95.547,"none","none"
"27",32,2,1,"66335c3dc5b215aeed3eea0f",5,1,224.81,72.33,-152.48,"none","multiracial"
"28",45,1,1,"65c7998283fde07a38b830af",2,5,24.847,79.6,54.753,"woman","black"
"29",38,1,1,"668c3e15efdac044dbce8b73",7,6,744.53,890.193,145.663,"none","multiracial"
"30",32,1,1,"664652484459d88ac575bda5",7,7,33.87,47.092,13.222,"none","black"
"31",40,1,0,"62f55b431a8434d459748de2",1,2,79.087,85.919,6.832,"none","multiracial"
"32",37,1,0,"642954d588469609635ad049",4,4,157.42,88.768,-68.652,"none","multiracial"
"33",43,1,0,"666e1d133e3ae53e65ea40b3",5,4,94.419,187.891,93.472,"woman","none"
"34",55,1,1,"622a426e8900cf2b495353e8",2,2,162.555,84.884,-77.671,"none","black"
"35",25,1,1,"64d12a70e6bc34c6c54d0097",2,1,104.832,54.938,-49.894,"woman","black"
"36",42,3,1,"5654171504212700054a12ad",1,1,35.129,47.101,11.972,"woman","none"
"37",26,1,0,"667ac1826ce22f03fab354c3",4,4,155.764,94.53,-61.234,"none","none"
"38",61,1,1,"62a9513ae9305607fd5af01a",5,5,77.089,21.784,-55.305,"none","multiracial"
"39",30,1,0,"66b13a6e0fbdc668a644d664",7,2,134.877,62.463,-72.414,"none","black"
"40",21,5,1,"5f1272e2efc9521cd918ce63",2,2,443.318,135.71,-307.608,"woman","multiracial"
"41",46,3,1,"66639889ea005547089b6cbf",6,4,107.302,112.666,5.364,"woman","none"
"42",40,1,1,"65672f832e481d65554c0bbc",4,4,46.659,19.258,-27.401,"none","multiracial"
"43",36,1,1,"58f4d676c8b7eb0001879416",4,4,196.968,32.201,-164.767,"woman","multiracial"
"44",51,1,0,"643883e97bc73c8245bc31d3",7,7,52.235,855.204,802.969,"woman","none"
"45",64,1,1,"66cf1d68db7276f921eb7901",6,6,57.643,11.342,-46.301,"woman","black"
"46",43,1,0,"66632c69d2b270f0314a0b16",7,5,20.947,72.272,51.325,"none","black"
"47",35,3,1,"669d12ad60121cd99d8af197",1,3,254.411,282.224,27.813,"woman","none"
"48",24,3,0,"6719bba7112a18903d4b71eb",4,3,211.208,97.523,-113.685,"woman","multiracial"
"49",49,3,0,"62732f7ea28589a21f63b1ee",2,4,46.891,45.646,-1.245,"none","black"
"50",41,3,0,"663a8b9eb077de60d6884574",1,1,689.283,165.05,-524.233,"woman","black"
"51",32,3,1,"5d4deacbd056d00019082be9",2,2,152.694,10.031,-142.663,"none","none"
"52",20,1,0,"6717747ea45c4b4602c6370f",7,7,268.533,66.274,-202.259,"woman","black"
"53",36,1,1,"666c46b6444950c3ade659b3",2,4,40.57,31.331,-9.239,"none","multiracial"
"54",44,2,0,"66b2da8fcd67478753c91597",2,2,314.204,40.057,-274.147,"none","multiracial"
"55",39,1,0,"64045393fa09ada78f0b5301",7,7,292.407,12.004,-280.403,"woman","none"
"56",36,3,1,"65c111517fcd5b05eaca7c93",2,2,92.733,115.823,23.09,"none","none"
"57",28,1,1,"656f38f222af36c0be7a3b5a",4,5,109.143,26.138,-83.005,"woman","multiracial"
"58",19,1,0,"66dc6a84045c49214a18285f",2,2,274.407,63.467,-210.94,"none","none"
"59",24,3,1,"66ccad98bd169c9d888ed606",1,1,400.405,28.672,-371.733,"woman","black"
"60",54,1,0,"6362c4beb39ee39d15890c5c",4,5,463.085,362.23,-100.855,"woman","none"
"61",36,1,0,"63972c71f83340241c366b6a",4,4,462.84,306.418,-156.422,"none","multiracial"
"62",50,3,0,"637b475a9348347c70dbdd4a",5,4,19.959,47.477,27.518,"woman","multiracial"
"63",61,1,1,"66140c26ed884c5d523440f5",3,7,619.157,166.505,-452.652,"woman","black"
"64",50,5,1,"5798e5674a84da00014c652b",1,1,13.105,19.913,6.808,"woman","multiracial"
"65",33,3,1,"65d863e56337aa59292ccd66",2,2,254.985,176.102,-78.883,"woman","multiracial"
